Material Description,Material Code,Liters/Crate,Pieces/Crate,Liters/Piece,Category
IC Crème Rich Al.Fudge 125ml Cup (8*9),ICCRALF02,9,72,0.125,125 ML CUP
IC Crème Rich Al.Fudge 125ml Cup (9*8) (DBA),EXPORT,9,72,0.125,125 ML CUP
IC Crème Rich Al.Fudge 125ml Cup (9*8) ( ACME) ),EXPORT,9,72,0.125,125 ML CUP
IC Crème Rich Al.Fudge 125ml Cup (9*8) ( shrinath ),EXPORT,9,72,0.125,125 ML CUP
IC Shahi Anjir 125ml Cup (9*8) ( Canada ),EXPORT,9,72,0.125,125 ML CUP
IC Shahi Anjir 125ml Cup (9*8) ,EXPORT,9,72,0.125,125 ML CUP
IC Sundae Chocolate 125 ml (8x6),ICSUCHO24,6,48,0.125,125 ML CUP
IC Sundae Chocolate 125 ml (8x6),ICSUCHO24,6,48,0.125,125 ML CUP
Amul IC Jumbo Cup King Alph. 125ml(8x9),ICCUKAL131,9,72,0.125,125 ML CUP
IC Sundae Mango 125 ml (8x6) ( CP BAHARIN ),EXPORT,6,48,0.125,125 ML CUP
IC Sundae Mango 125 ml (8x6),ICSUMAN25,6,48,0.125,125 ML CUP
IC Sundae Chocolate 125 ml (8x9),ICSUCHO48,9,72,0.125,125 ML CUP
IC Tricone Butter Scotch 120ml (20*6),ICTRBSC22,14.4,120,0.12,120 ML TRICONE
IC Tricone Butter Scotch 120ml (20*6),ICTRBSC22,14.4,120,0.12,120 ML TRICONE
IC Tricone Butter Scotch 120ml (20*6),ICTRBSC22,14.4,120,0.12,120 ML TRICONE
IC Tricone Butter Scotch 120ml (20*6)   (W-IPL),ICTRBSC22,14.4,120,0.12,120 ML TRICONE
IC Tricone Chocolate 120ml (20x6),ICTRCHO23,14.4,120,0.12,120 ML TRICONE
IC Tricone Chocolate 120ml (20x6),ICTRCHO23,14.4,120,0.12,120 ML TRICONE
IC Tricone Chocolate 120ml (20x6) ,ICTRCHO23,14.4,120,0.12,120 ML TRICONE
IC Tricone Chocolate 120ml (20x6) (SCIESL),EXPORT,14.4,120,0.12,120 ML TRICONE
IC Tricone  Dark Chocolate 120ml (20x6),ICTRDCH43,14.4,120,0.12,120 ML TRICONE
IC Tricone  Dark Chocolate 120ml (20x6),ICTRDCH43,14.4,120,0.12,120 ML TRICONE
IC Tricone  Dark Chocolate 120ml (20x6),ICTRDCH43,14.4,120,0.12,120 ML TRICONE
IC Tricone Two In One 120ml (20x6),ICTRTIO42,14.4,120,0.12,120 ML TRICONE
IC Tricone Two In One 120ml (20x6),ICTRTIO42,14.4,120,0.12,120 ML TRICONE
IC Tricone Belgian Chocolate 120ml (20x6),ICTRBCH45,14.4,120,0.12,120 ML TRICONE
IC Tricone Belgian Chocolate 120ml (20x6),ICTRBCH45,14.4,120,0.12,120 ML TRICONE
IC Tricone Belgian Chocolate 120ml (20x6),ICTRBCH45,14.4,120,0.12,120 ML TRICONE
IC Tricone Belgian Chocolate 120ml (20x6)-( TCSL ),EXPORT,14.4,120,0.12,120 ML TRICONE
IC Tricone Black Current 120ml (20x6),ICTRBCU37,14.4,120,0.12,120 ML TRICONE
IC Tricone Black Current 120ml (20x6),ICTRBCU37,14.4,120,0.12,120 ML TRICONE
IC Tricone  PARLINE N  CREAM 120ml (20x6),ICTRPNC73,14.4,120,0.12,120 ML TRICONE
IC Tricone  PARLINE N  CREAM 120ml (20x6),ICTRPNC73,14.4,120,0.12,120 ML TRICONE
IC Tricone Choco Vanilla 120ml (20 x6),ICTRVAN36,14.4,120,0.12,120 ML TRICONE
IC Tricone Choco Vanilla 120ml (20 x6),ICTRVAN36,14.4,120,0.12,120 ML TRICONE
IC Tricone Choco Vanilla 120ml (20 x6),ICTEVAN36,14.4,120,0.12,120 ML TRICONE
IC Tricone Double Chocolate 120ml (20 x6),ICTRDBC59,14.4,120,0.12,120 ML TRICONE
IC Tricone Double Chocolate 120ml (20 x6),ICTRDBC59,14.4,120,0.12,120 ML TRICONE
IC Tricone Vanilla 120ml (20 x6)(SCIESL),EXPORT,14.4,120,0.12,120 ML TRICONE
IC Tricone Pista Badam 120ml (20x6),ICTRPBD30,14.4,120,0.12,120 ML TRICONE
IC Tricone  Cookies n Cream120ml (20x6),ICTRCNC44,14.4,120,0.12,120 ML TRICONE
IC Tricone  Cookies n Cream120ml (20x6),ICTRCNC44,14.4,120,0.12,120 ML TRICONE
IC Tricone Choco Caramel 120ml (20x6),ICTRCNC44,14.4,120,0.12,120 ML TRICONE
IC Tricone Pista Badam 120ml (20x6),ICTRPBD30,14.4,120,0.12,120 ML TRICONE
IC Tricone Kesar Pista 120ml (20X6),ICTRKPI31,14.4,120,0.12,120 ML TRICONE
IC Tricone Kesar Pista 120ml (20X6),ICTRKPI31,14.4,120,0.12,120 ML TRICONE
IC Tricone Butter Scotch 100ml (20*6),ICTRBSC24,12,120,0.1,100 ML TRI CONE
IC Tricone Butter Scotch 100ml (20*6),ICTRBSC24,12,120,0.1,100 ML TRI CONE
IC Tricone Chocolate 100ml (20*6),ICTRCHO25,12,120,0.1,100 ML TRI CONE
IC Tricone Chocolate 100ml (20*6),ICTRCHO25,12,120,0.1,100 ML TRI CONE
IC Tricone Vanilla 100ml (20*6),ICTRVAN47,12,120,0.1,100 ML TRI CONE
IC Tricone Vanilla 100ml (20*6),ICTRVAN47,12,120,0.1,100 ML TRI CONE
IC Cup Afghan Dry Fruit 100ml (16x9),ICCUADF94,14.4,144,0.1,100 ML CUP
IC Cup Afghan Dry Fruit 100ml (16x9),ICCUADF94,14.4,144,0.1,100 ML CUP
IC Cup Kis miss Kaju 100ml (16x9),ICCUKMK97,14.4,144,0.1,100 ML CUP
IC Cup American Nuts 100 ML (16*9),ICCUAMN93,14.4,144,0.1,100 ML CUP
IC Cup American Nuts 100 ML (16*9),ICCUAMN93,14.4,144,0.1,100 ML CUP
IC Cup Raj Bhog 100 ML (16*9),ICCURBJ99,14.4,144,0.1,100 ML CUP
IC Cup Al. Mango 100ml (16x9),ICCUAMA106,14.4,144,0.1,100 ML CUP
IC Cup Al. Mango 100ml (16x9),ICCUAMA106,14.4,144,0.1,100 ML CUP
IC Cup Butter Scotch 100ml (16x9),ICCUBSC95,14.4,144,0.1,100 ML CUP
IC Cup Butter Scotch 100ml (16x9),ICCUBSC95,14.4,144,0.1,100 ML CUP
IC Cup Butter Scotch 100ml (16x9),ICCUBSC95,14.4,144,0.1,100 ML CUP
IC Cup Nolen Gur 100ml (16x9),ICCUNLG116,14.4,144,0.1,100 ML CUP
IC Cup Chocolate 100ml (16x9),ICCUCHO107,14.4,144,0.1,100 ML CUP
IC Cup Chocolate 100ml (16x9),ICCUCHO107,14.4,144,0.1,100 ML CUP
Amul IC cup Tutti Fruity 100ml (16x9),ICCUTFR97,14.4,144,0.1,100 ML CUP
Amul IC cup Tutti Fruity 100ml (16x9),New code,14.4,144,0.1,100 ML CUP
IC Cup Kesar Pista 100ml (16x9),ICCUKPI98,14.4,144,0.1,100 ML CUP
IC Cup Kesar Pista 100ml (16x9),ICCUKPI98,14.4,144,0.1,100 ML CUP
IC Cup Zafrani Badam Pista 100ml (16x9),ICCUZBP92,14.4,144,0.1,100 ML CUP
IC Cup Zafrani Badam Pista 100ml (16x9),ICCUZBP92,14.4,144,0.1,100 ML CUP
IC Cup  Kaju Draksh 100ml (16x9 ),ICCUKDR96,14.4,144,0.1,100 ML CUP
IC Cup  Kaju Draksh 100ml (16x9 ),ICCUKDR96,14.4,144,0.1,100 ML CUP
IC Cup  Strawberry 100ml (16x9 ),ICCUSTR102,14.4,144,0.1,100 ML CUP
Amul IC Cup Vanilla 100ml (16x9),ICCUVAN101,14.4,144,0.1,100 ML CUP
Amul IC Cup Vanilla 100ml (16x9),ICCUVAN101,14.4,144,0.1,100 ML CUP
Amul IC Cup Vanilla 100ml (16x9),ICCUVAN101,14.4,144,0.1,100 ML CUP
Amul IC Cup Vanilla 100ml (16x9),ICCUVAN101,14.4,144,0.1,100 ML CUP
IC Cup Choco chips   100ml (12x8),ICCUCCH49,9.6,96,0.1,100 ML CUP
IC Cup Choco chips   100ml (12x8 ),ICCUCCH49,9.6,96,0.1,100 ML CUP
IC Cup Cookies N Cream   100ml (8x12 ),ICCUCNC66,9.6,96,0.1,100 ML CUP
IC Cup Cookies N Cream   100ml ( 8x12 ),ICCUCNC66,9.6,96,0.1,100 ML CUP
IC Sandwich Vanilla 100ml (10x12),ICNVSDV20,12,120,0.1,100 ML CUP
Amul IC Sandwich Ch Br Gold 80ml (10x12),ICNVGSV95,9.6,120,0.08,80 ML
IC Sandwich Vanilla 80ml (10x12),ICNVSDV23,9.6,120,0.08,80 ML
IC Asli Aam 80ml (20x6) (GOLD),ICEXGSM26,9.6,120,0.08,80 ML
IC Asli Aam 80ml (20x6),ICEXSAM15,9.6,120,0.08,80 ML
IC Asli Aam 80ml (20x6),ICEXSAM15,9.6,120,0.08,80 ML
IC Asli Cola 80ml (20x6),ICEXACO28,9.6,120,0.08,80 ML
IC Asli Cola 80ml (20x6),ICEXACO28,9.6,120,0.08,80 ML
Amul IC Epic Str Twist 80ml (16x6),ICEXSTV05,7.68,96,0.08,80 ML
IC STK EPIC Strawberry  TWIST 80 ML (10X9)Gold,ICEXGST28,7.2,90,0.08,80 ML
IC STK EPIC Strawberry  TWIST 80 ML (16X6) ( CARREFOUR),EXPORT,7.68,96,0.08,80 ML
IC Epic Choco  Truffle 80ml (16x6),ICEXCHT20,7.68,96,0.08,80 ML
IC Epic Choco  Truffle 80ml (16x6),ICEXCHT20,7.68,96,0.08,80 ML
IC Epic Choco  Truffle 80ml (16x6) (WITHOUT  BOX PACKING),ICEXCHT20,7.68,96,0.08,80 ML
IC Epic Peru Amazon 80ml (16x6),ICEXPER10,7.68,96,0.08,80 ML
IC Epic VENEZUELA EBONY 80ml (16x6),ICEXVEN11,7.68,96,0.08,80 ML
IC Epic VENEZUELA EBONY 80ml (16x6),ICEXVEN11,7.68,96,0.08,80 ML
IC Epic VENEZUELA EBONY 80ml (16x6),ICEXVEN11,7.68,96,0.08,80 ML
IC STK EPIC Choco CAPPUCCINO 80 ML (16X6)  ( ANGOLA ),EXPORT,7.68,96,0.08,80 ML
IC STK EPIC Choco CAPPUCCINO 80 ML (16X6)  (  SCIESL ),EXPORT,7.68,96,0.08,80 ML
IC STK EPIC Choco CAPPUCCINO 80 ML (16X6),ICEXCAP07,7.68,96,0.08,80 ML
IC STK EPIC ALPHONSO 80 ML (16X6),ICEXALG08,7.68,96,0.08,80 ML
IC STK EPIC ALPHONSO 80 ML (16X6),ICEXALG08,7.68,96,0.08,80 ML
IC STK EPIC ALPHONSO 80 ML (16X6)-,EXPORT,7.68,96,0.08,80 ML
IC STK EPIC ALPHONSO 80 ML (16X6)-(CHOITHRAM),EXPORT,7.68,96,0.08,80 ML
IC STK EPIC Choco CAPPUCCINO 80 ML (16X6),ICEXCAP07,7.68,96,0.08,80 ML
Amul IC Epic Tanzania Noir 80ml (16x6),ICEXTAN12,7.68,96,0.08,80 ML
IC Epic Choco Almond 80ml (16x6)  ,ICEXCHA06,7.68,96,0.08,80 ML
IC Epic Choco Almond 80ml (16x6)  ,ICEXCHA06,7.68,96,0.08,80 ML
IC Epic Choco Almond 80ml (10x9)GOLD,ICEXGAL27,7.2,90,0.08,80 ML
IC Epic Choco Almond 80ml (16x6) -(  AL TAYEB ),EXPORT,7.68,96,0.08,80 ML
IC Epic Choco Almond 80ml (16x6) (TCSL),EXPORT,7.68,96,0.08,80 ML
IC Epic Choco Almond 80ml (16x6) (WITHOUT PARTY NAME),EXPORT,7.68,96,0.08,80 ML
IC Epic Choco Almond 80ml (16x6) (  ( MAURITIUS),EXPORT,7.68,96,0.08,80 ML
Cookies  Sub 80 ml (12X12),ICNVCKS22,11.52,144,0.08,80 ML
Cookies  Sub 80 ml (12X12) ,ICNVCKS22,11.52,144,0.08,80 ML
IC STK Frostik 70 ml (20x8)  (GOLD),ICSTGFR104,11.2,160,0.07,70 ML CANDY
IC STK Frostik 70 ml (20x8),ICSTFRS53,11.2,160,0.07,70 ML CANDY
Amul IC STK Dark Frostik 70ml(20x8),ICSTDFR106,11.2,160,0.07,70 ML CANDY
IC STK Frostik 70 ml (20x8)   ( SRI NURUGAN ),EXPORT,11.2,160,0.07,70 ML CANDY
IC STK Frostik 70 ml (20x8)  ( QATAR ),EXPORT,11.2,160,0.07,70 ML CANDY
IC STK Frostik 70 ml (20x8) ( AGRIFRESH ),EXPORT,11.2,160,0.07,70 ML CANDY
IC STK Frostik 70 ml (20x8)  ( (KALON FOOD ),EXPORT,11.2,160,0.07,70 ML CANDY
IC Tricone Choco Vanilla 70ml (20 x6),ICTRVAN54,8.4,120,0.07,70 ML TRI CONE
IC Tricone Choco Vanilla 70ml (20 x6),ICTRVAN54,8.4,120,0.07,70 ML TRI CONE
Amul IC Tricone Mango 70ml(20x6),ICTRMAN56,8.4,120,0.07,70 ML TRI CONE
Amul IC Tricone Mango 70ml(20x6),ICTRMAN56,8.4,120,0.07,70 ML TRI CONE
Amul IC Tricone Kulfi 70ml(20x6),ICTRKUL57,8.4,120,0.07,70 ML TRI CONE
Amul IC Tricone Kulfi 70ml(20x6),ICTRKUL57,8.4,120,0.07,70 ML TRI CONE
IC Cup Vanilla 65ml (16x9),ICCUVAN108,9.36,144,0.065,65 ML  CUP
IC Cup Vanilla 65ml (16x9),ICCUVAN108,9.36,144,0.065,65 ML  CUP
IC Cup Strawberry 65ml (16x9),ICCUSTR109,9.36,144,0.065,65 ML  CUP
IC Cup Strawberry 65ml (16x9),ICCUSTR109,9.36,144,0.065,65 ML  CUP
IC Cup  Green Pista 65ml (16x9),ICCUGPI110,9.36,144,0.065,65 ML  CUP
IC Cup  Green Pista 65ml (16x9),ICCUGPI110,9.36,144,0.065,65 ML  CUP
IC Cup  Green Pista 65ml (16x9),ICCUGPI110,9.36,144,0.065,65 ML  CUP
Amul IC STK Coffee Bar 60 ml (20x8),ICSTCFB103,9.6,160,0.06,60 ML CANDY
IC STK Prolife Chocobar 60ml (20x8) ,ICPBCHB17,9.6,160,0.06,60 ML CANDY
Amul IC STK Dark Chocobar60ml(20x8),ICSTDCH107,9.6,160,0.06,60 ML CANDY
IC STK Prolife Chocobar 60ml (20x8) (QATAR )  ,EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Prolife Chocobar 60ml (20x8) ( ABS )  ,EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Prolife Chocobar 60ml (20x8) ( MAURITIUS )  ,EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Prolife Chocobar 60ml (20x8) ( NBK )  ,EXPORT,9.6,160,0.06,60 ML CANDY
Amul IC STK Gold Pro Chocobar 60ml(20x8),ICPBGCB23,9.6,160,0.06,60 ML CANDY
Amul IC STK Dark Chocobar60ml(20x8),ICSTDCH107,9.6,160,0.06,60 ML CANDY
IC STK Ch. Cracklers Fam Fun 60ml (5x6),ICSTCCK49,1.8,30,0.06,60 ML CANDY
IC STK Ch. Cracklers Fam Fun 60ml (5x6),ICSTCCK49,1.8,30,0.06,60 ML CANDY
IC STK Koolfi Mawa Malai 60ml (20x8),ICSTKOM62,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Mawa Malai 60ml (20x8),ICSTKOM62,9.6,160,0.06,60 ML CANDY
Amul IC STK AamRas Kulfi 60ml(20x8),ICSTARK108,9.6,160,0.06,60 ML CANDY
IC STK KathIawadi Koolfi 60ml (20x8) ,ICSTKTH83,9.6,160,0.06,60 ML CANDY
IC STK KathIawadi Koolfi 60ml (20x8)  (AGRIFRESH),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK KathIawadi Koolfi 60ml (20x8)  (DUBAI),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK KathIawadi Koolfi 60ml (20x8)  (QATAR),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK PISTA  Malai Koolfi 60ml (20x8)   ,ICSTKOS59,9.6,160,0.06,60 ML CANDY
IC STK PISTA  Malai Koolfi 60ml (20x8)   ,ICSTKOS59,9.6,160,0.06,60 ML CANDY
IC STK PISTA  Malai Koolfi 60ml (20x8) ( TCSL ),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK PISTA  Malai Koolfi 60ml (20x8)   ( AGRIFRESH ),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK PISTA  Malai Koolfi 60ml (20x8)   ( CARRERFOUR ),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK PISTA  Malai Koolfi 60ml (20x8)   ( CONGO WITHOUT NAME),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK PISTA  Malai Koolfi 60ml (20x8)   (QATAR),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK  Sugar Free  Panjabi Koolfi 60ml (20x8),ICSFPME30,9.6,160,0.06,60 ML CANDY
IC STK  Sugar Free  Panjabi Koolfi 60ml (20x8),ICSFPME30,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8) (GOLD),ICSTGPK104,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8),ICSTPME69,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8)   ,ICSTPME69,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8)  ( MAURITIUS),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x9)  ( CP DUBAI),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8)  (MURGAN),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8)  (C P BAHARAIN),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8)  (KALON),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Panjabi Koolfi 60ml (20x8)  (MUSTAFA),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Raj Bhog 60ml (20x8),ICSTKRB64,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Raj Bhog 60ml (20x8),ICSTKRB64,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Raj Bhog 60ml (20x8) (OM ),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Raj Bhog 60ml (20x8)   (,EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Raj Bhog 60ml (20x8) (  QATAR),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Raj Bhog 60ml (20x8) (MUSTAFA),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Koolfi Raj Bhog 60ml (20x8) (TCSL),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Ratnagiri Kulfi 60ml (20x8),ICSTRTM75,9.6,160,0.06,60 ML CANDY
Amul IC Stk Kulfi Badshahi 60ml (20x8),ICSTKBD68,9.6,160,0.06,60 ML CANDY
Amul IC Stk Kulfi Badshahi 60ml (20x8),ICSTKBD68,9.6,160,0.06,60 ML CANDY
IC STK Ratnagiri Kulfi 60ml (20x8) (CP DUBAI),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Ratnagiri Kulfi 60ml (20x8) (OM),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Ratnagiri Kulfi 60ml (20x8) (QATAR),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Ratnagiri Kulfi 60ml (20x8) (HARMONY),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Kashmiri Kulfi 60ml (20x8) ,ICSTKMK77,9.6,160,0.06,60 ML CANDY
IC STK Kashmiri Kulfi 60ml (20x8)   (WITHOUT PARTY NAME),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Kashmiri Kulfi 60ml (20x8) ((CP DUBAI)),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Kashmiri Kulfi 60ml (20x8)  (AL TAYEB),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Kashmiri Kulfi 60ml (20x8)( AGRIFRESH),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Kashmiri Kulfi 60ml (20x8)  (TAYEB),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Kashmiri Kulfi 60ml (20x8)   ( mustafa),EXPORT,9.6,160,0.06,60 ML CANDY
IC Immunity Chakari St Pis Pin 60ml (20x6),ICEXIMC25,7.2,120,0.06,60 ML CANDY
IC Immuno Chakra 60ml (20x6),ICEXIMC25,7.2,120,0.06,60 ML CANDY
IC Fundoo Chakri St Pis Pin 60ml (20x6),ICEXSGP18,7.2,120,0.06,60 ML CANDY
IC Fundoo Chakri St Pis Pin 60ml (20x6),ICEXSGP18,7.2,120,0.06,60 ML CANDY
IC STK Rajasthani  Koolfi 60ml (20x8),ICSTRJK78,9.6,160,0.06,60 ML CANDY
IC STK Rajasthani  Koolfi 60ml (20x8)  (WITHOUT PARTY NAME),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Rajasthani  Koolfi 60ml (20x8)  (AGRIFRESH) WITHOUT PACKING,EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Rajasthani  Koolfi 60ml (20x8)  (BABASONS),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Rajasthani  Koolfi 60ml (20x8)  (QATAR)20 CRTAES WITHOUT PACKING,EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Rajasthani  Koolfi 60ml (20x8)  (MUSTAFA),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Star Anise  Koolfi 60ml (20x8) ,ICSTSAK90,9.6,160,0.06,60 ML CANDY
IC STK CHOCO STIX KULFI 60ml (20x8),ICSTCHS76,9.6,160,0.06,60 ML CANDY
IC STK Cookie Bar 60ml (20x8),ICSTCKB73,9.6,160,0.06,60 ML CANDY
IC STK Cookie Bar 60ml (20x8),ICSTCKB73,9.6,160,0.06,60 ML CANDY
Amul IC Protein Bar Cola 60ml (20x6),ICHSPBO16,9.6,160,0.06,60 ML CANDY
Amul IC  Protein  Coffee Bar 60 ml (20x8),ICHSPBO16,9.6,160,0.06,60 ML CANDY
IC STK Catering Kewada Kulfi 60 ml (20x8),ICSTCKK80,9.6,160,0.06,60 ML CANDY
IC STK Catering Kewada Kulfi 60 ml (20x8),ICSTCKK80,9.6,160,0.06,60 ML CANDY
IC STK CATERING MALAI KULFI 60 ML (20*8),ICSTCKM79,9.6,160,0.06,60 ML CANDY
IC STK CATERING MALAI KULFI 60 ML (20*8),ICSTCKM79,9.6,160,0.06,60 ML CANDY
IC Chocoberg Caramel Rasp 60 ml (20x12),ICNVCHB26,9.6,160,0.06,60 ML CANDY
IC STK Mango Duetz 60ml (20x8)(GOLD),New code,9.6,160,0.06,60 ML CANDY
Amul IC STK Mango Duetz Gold 60ml(20X8),ICSTGMD105,9.6,160,0.06,60 ML CANDY
Amul IC Stk Duetz Mango 60ml (20x8),ICSTMDO55,9.6,160,0.06,60 ML CANDY
Amul IC Stk Duetz Mango 60ml (20x8),ICSTMDO55,9.6,160,0.06,60 ML CANDY
IC STK Mango Duetz 60ml (20x08)  (ABS),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Mango Duetz 60ml (20x08)  (HARMONY),EXPORT,9.6,160,0.06,60 ML CANDY
IC EPIC Sweet heart 60ml(20x6),ICEXSVVH19,7.2,120,0.06,60 ML CANDY
IC EPIC Sweet heart 60ml(20x6),ICEXSVVH19,7.2,120,0.06,60 ML CANDY
Amul IC  STK Khatta Mitha  Mango Duetz 60ml (20x8)  ,ICSTKMDO102,9.6,160,0.06,60 ML CANDY
Amul IC  STK Khatta Mitha  Mango Duetz 60ml (20x8)  ,ICSTKMD0102,9.6,160,0.06,60 ML CANDY
Amul IC  STK Khatta Mitha  Mango Duetz 60ml (20x8)  ,ICSTKMD0102,9.6,160,0.06,60 ML CANDY
Amul IC Stk Kulfi Badshahi 60ml (20x8),ICSTKBD68,9.6,160,0.06,60 ML CANDY
Amul IC Stk Kulfi Badshahi 60ml (20x8),ICSTKBD68,9.6,160,0.06,60 ML CANDY
IC STK Badshahi koolfi 60ml (20x8)  (AGRIFRESH),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Badshahi koolfi 60ml (20x8) (QATAR),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Badshahi koolfi 60ml (20x8)  (MAURITUS),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Badshahi koolfi 60ml (20x8)  ( DUBAI ),EXPORT,9.6,160,0.06,60 ML CANDY
IC STK Raspberry Duetz 60ml (20x8),ICSTRDO56,9.6,160,0.06,60 ML CANDY
IC STK Raspberry Duetz 60ml (20x8),ICSTRDO56,9.6,160,0.06,60 ML CANDY
Amul IC Fundoo Super Ms 60ml(20x8),ICEXMST21,9.6,160,0.06,60 ML CANDY
Amul IC Fundoo Curly B Str 60ml(20x8),ICEXBCS17,9.6,160,0.06,60 ML CANDY
IC Cup Strawberry 55ml (16x9),ICCUSTR154,7.92,144,0.055,55 ML CUP
IC Cup Strawberry 55ml (16x9),ICCUSTR154,7.92,144,0.055,55 ML CUP
IC Cup Vanilla 55ml (16x9),ICCUVAN152,7.92,144,0.055,55 ML CUP
IC Cup Vanilla 55ml (16x9),ICCUVAN152,7.92,144,0.055,55 ML CUP
IC Cup Vanilla 55ml (16x9),ICCUVAN152,7.92,144,0.055,55 ML CUP
IC STK Cola Ice-Lickz 50ml (20x8),ICSTCOL72,8,160,0.05,50 ML CANDY
IC STK Orange Ice-Lickz 50ml (20x8)  LOOSE PACKING DONE,ICSTORN70,8,160,0.05,50 ML CANDY
IC STK Orange Ice-Lickz 50ml (20x8),ICSTORN70,8,160,0.05,50 ML CANDY
IC STK Mango Ice-Lickz 50ml (20x8),ICSTMAN71,8,160,0.05,50 ML CANDY
IC STK Mango Ice-Lickz 50ml (20x8),ICSTMAN71,8,160,0.05,50 ML CANDY
IC STK Koolfi Rabri (Rural) 50ml (20x8),ICSTKOR66,8,160,0.05,50 ML CANDY
 IC STK Koolfi Rabri (Rural) 50ml (20x8),ICSTKOR66,8,160,0.05,50 ML CANDY
IC Tricone Butter Scotch 50ml (20x8),ICTRBSC09,8,160,0.05,50 ML TRICONE
IC Tricone Butter Scotch 50ml (20x8),ICTRBSC09,8,160,0.05,50 ML TRICONE
IC Tricone Chocolate 50ml (20x8),ICTRCHO10,8,160,0.05,50 ML TRICONE
IC Tricone Chocolate 50ml (20x8),ICTRCHO10,8,160,0.05,50 ML TRICONE
 IC STK Koolfi Rabri (Rural)   45ml (20x8),ICSTKOR87,7.2,160,0.045,45 ML CANDY
 IC STK Koolfi Rabri (Rural)   45ml (20x8),ICSTKOR87,7.2,160,0.045,45 ML CANDY
IC STK Frostik 40ml (20x14),ICSTFRS54,11.2,280,0.04,40 ML CANDY
IC STK Frostik 40ml (20x14),ICSTFRS54,11.2,280,0.04,40 ML CANDY
IC STK Prolife Chocobar 40ml (20x14),ICSTCHB61,11.2,280,0.04,40 ML CANDY
IC STK Prolife Chocobar 40ml (20x14),ICSTCHB61,11.2,280,0.04,40 ML CANDY
IC STK Nawabi kulfi 40ml (20x8),ICSTNWB86,6.4,160,0.04,40 ML CANDY
IC STK Nawabi kulfi 40ml (20x8),ICSTNWB86,6.4,160,0.04,40 ML CANDY
IC STK Nawabi kulfi 40ml (20x8) (SHRINATH),EXPORT,6.4,160,0.04,40 ML CANDY
IC STK Nawabi kulfi 40ml (20x8) (QATAR),EXPORT,6.4,160,0.04,40 ML CANDY
IC STK Nawabi kulfi 40ml (20x8)  (CP BAHRAIN),EXPORT,6.4,160,0.04,40 ML CANDY
IC STK Nawabi kulfi 40ml (20x8) ( CP DUBAI ),EXPORT,6.4,160,0.04,40 ML CANDY
